graph_id,graph_edge_list
160,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
161,"[[7, 2], [7, 3], [7, 5], [5, 2], [5, 3], [0, 1], [0, 2], [0, 6], [0, 4], [1, 2], [1, 4], [1, 6], [2, 3], [2, 6], [2, 4], [6, 4]]"
162,"[[28, 16], [28, 8], [28, 15], [28, 21], [7, 16], [7, 6], [7, 12], [7, 15], [7, 4], [5, 16], [5, 2], [5, 0], [5, 15], [5, 10], [17, 24], [17, 16], [17, 15], [17, 1], [17, 3], [17, 6], [17, 12], [17, 4], [0, 16], [0, 2], [0, 15], [0, 10], [3, 24], [3, 1], [3, 15], [3, 16], [3, 6], [3, 12], [3, 4], [13, 22], [13, 25], [13, 15], [13, 19], [13, 16], [13, 11], [13, 14], [24, 1], [24, 15], [24, 16], [24, 6], [24, 26], [24, 12], [24, 4], [9, 18], [9, 20], [9, 15], [9, 16], [9, 12], [9, 4], [18, 16], [18, 20], [18, 15], [18, 12], [18, 4], [12, 20], [12, 15], [12, 1], [12, 16], [12, 6], [12, 26], [12, 4], [19, 22], [19, 25], [19, 15], [19, 16], [19, 11], [19, 14], [1, 15], [1, 16], [1, 6], [1, 4], [21, 16], [21, 8], [21, 15], [25, 22], [25, 15], [25, 16], [25, 11], [25, 14], [20, 16], [20, 15], [20, 4], [10, 16], [10, 2], [10, 15], [2, 16], [2, 15], [14, 22], [14, 15], [14, 16], [14, 11], [22, 15], [22, 16], [22, 11], [15, 11], [15, 16], [15, 27], [15, 23], [15, 6], [15, 26], [15, 8], [15, 4], [11, 16], [16, 27], [16, 23], [16, 6], [16, 26], [16, 8], [16, 4], [27, 23], [27, 26], [23, 26], [6, 4]]"
163,"[[7, 5], [7, 10], [7, 2], [7, 3], [7, 0], [7, 13], [7, 14], [7, 9], [7, 12], [7, 15], [7, 11], [7, 1], [7, 6], [7, 8], [7, 4], [5, 12], [5, 15], [5, 10], [5, 11], [5, 3], [5, 6], [5, 8], [5, 14], [5, 4], [0, 1], [0, 15], [0, 9], [0, 2], [0, 13], [2, 1], [2, 15], [2, 9], [2, 13], [3, 12], [3, 15], [3, 10], [3, 11], [3, 8], [3, 6], [3, 14], [3, 4], [10, 12], [10, 15], [10, 11], [10, 8], [10, 14], [10, 4], [13, 1], [13, 15], [13, 9], [14, 15], [14, 11], [14, 6], [14, 8], [14, 12], [14, 4], [9, 15], [9, 1], [12, 15], [12, 11], [12, 8], [12, 4], [15, 11], [15, 1], [15, 6], [15, 8], [15, 4], [11, 8], [11, 4], [6, 8], [6, 4], [8, 4]]"
164,"[[7, 6], [7, 13], [7, 14], [7, 4], [5, 1], [5, 2], [5, 4], [5, 12], [5, 10], [0, 9], [0, 11], [0, 8], [0, 3], [0, 4], [11, 9], [11, 3], [11, 4], [11, 8], [3, 9], [3, 8], [3, 4], [10, 1], [10, 2], [10, 12], [10, 4], [13, 6], [13, 14], [13, 4], [14, 6], [14, 4], [9, 4], [9, 8], [12, 1], [12, 2], [12, 4], [2, 1], [2, 4], [1, 4], [6, 4], [8, 4]]"
165,"[[7, 0], [7, 5], [7, 6], [7, 15], [7, 4], [5, 15], [5, 0], [5, 11], [5, 3], [5, 10], [5, 13], [5, 14], [5, 9], [5, 18], [5, 12], [5, 17], [5, 2], [5, 1], [5, 16], [5, 6], [5, 8], [5, 4], [15, 4], [15, 6], [15, 0], [0, 6], [0, 4], [2, 9], [2, 13], [2, 14], [2, 17], [3, 1], [3, 18], [3, 10], [3, 16], [3, 11], [3, 8], [3, 12], [10, 1], [10, 18], [10, 16], [10, 11], [10, 8], [10, 12], [13, 9], [13, 14], [13, 17], [12, 1], [12, 18], [12, 16], [12, 11], [12, 8], [9, 14], [9, 17], [18, 16], [18, 1], [18, 11], [18, 8], [14, 17], [11, 16], [11, 1], [11, 8], [1, 16], [1, 8], [16, 8], [6, 4]]"
166,"[[7, 1], [7, 5], [7, 10], [7, 9], [7, 11], [7, 4], [5, 1], [5, 10], [5, 9], [5, 11], [5, 4], [0, 11], [0, 8], [0, 6], [0, 3], [0, 2], [11, 9], [11, 1], [11, 2], [11, 3], [11, 10], [11, 6], [11, 8], [11, 4], [3, 2], [3, 8], [3, 6], [10, 1], [10, 9], [10, 4], [1, 9], [1, 4], [2, 8], [2, 6], [9, 4], [6, 8]]"
167,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
168,"[[7, 13], [7, 12], [7, 0], [5, 1], [5, 2], [5, 9], [5, 11], [5, 3], [5, 10], [5, 13], [5, 8], [5, 4], [0, 13], [0, 12], [11, 9], [11, 10], [11, 1], [11, 2], [11, 3], [11, 13], [11, 8], [11, 4], [3, 1], [3, 10], [3, 9], [3, 2], [3, 8], [3, 13], [3, 4], [10, 1], [10, 9], [10, 2], [10, 13], [10, 8], [10, 4], [13, 12], [13, 1], [13, 2], [13, 9], [13, 6], [13, 8], [13, 4], [1, 9], [1, 2], [1, 8], [1, 4], [2, 9], [2, 8], [2, 4], [9, 8], [9, 4], [8, 4]]"
169,"[[7, 22], [7, 20], [7, 0], [7, 11], [7, 10], [7, 13], [7, 24], [7, 9], [7, 15], [7, 19], [7, 16], [7, 6], [7, 26], [5, 25], [5, 2], [5, 3], [5, 13], [5, 12], [5, 24], [5, 18], [5, 14], [5, 17], [5, 1], [5, 23], [5, 8], [5, 21], [5, 4], [17, 2], [17, 3], [17, 13], [17, 14], [17, 24], [17, 25], [17, 12], [17, 18], [17, 1], [17, 23], [17, 8], [17, 21], [17, 4], [0, 22], [0, 20], [0, 10], [0, 11], [0, 13], [0, 24], [0, 9], [0, 15], [0, 19], [0, 16], [0, 6], [0, 26], [3, 21], [3, 2], [3, 8], [3, 13], [3, 14], [3, 24], [3, 25], [3, 12], [3, 1], [3, 23], [3, 18], [3, 4], [13, 24], [13, 1], [13, 18], [13, 12], [13, 19], [13, 9], [13, 21], [13, 25], [13, 20], [13, 10], [13, 11], [13, 14], [13, 22], [13, 15], [13, 2], [13, 16], [13, 23], [13, 6], [13, 26], [13, 8], [13, 4], [24, 1], [24, 18], [24, 12], [24, 19], [24, 9], [24, 21], [24, 25], [24, 20], [24, 10], [24, 11], [24, 14], [24, 22], [24, 15], [24, 2], [24, 16], [24, 23], [24, 6], [24, 26], [24, 8], [24, 4], [9, 22], [9, 20], [9, 11], [9, 10], [9, 15], [9, 19], [9, 16], [9, 6], [9, 26], [18, 2], [18, 14], [18, 25], [18, 12], [18, 1], [18, 23], [18, 8], [18, 21], [18, 4], [12, 2], [12, 14], [12, 25], [12, 1], [12, 23], [12, 8], [12, 21], [12, 4], [19, 22], [19, 20], [19, 11], [19, 10], [19, 15], [19, 16], [19, 6], [19, 26], [1, 21], [1, 2], [1, 14], [1, 25], [1, 23], [1, 8], [1, 4], [21, 2], [21, 14], [21, 25], [21, 23], [21, 8], [21, 4], [25, 2], [25, 14], [25, 23], [25, 8], [25, 4], [20, 22], [20, 11], [20, 10], [20, 15], [20, 16], [20, 6], [20, 26], [10, 22], [10, 11], [10, 15], [10, 16], [10, 6], [10, 26], [2, 14], [2, 23], [2, 8], [2, 4], [14, 23], [14, 8], [14, 4], [22, 11], [22, 15], [22, 16], [22, 6], [22, 26], [15, 11], [15, 16], [15, 6], [15, 26], [11, 16], [11, 6], [11, 26], [16, 6], [16, 26], [23, 8], [23, 4], [6, 26], [8, 4]]"
17,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
170,"[[28, 1], [28, 11], [28, 30], [28, 5], [28, 45], [43, 44], [43, 8], [43, 5], [43, 13], [5, 47], [5, 0], [5, 32], [5, 8], [5, 31], [5, 24], [5, 9], [5, 39], [5, 49], [5, 40], [5, 1], [5, 46], [5, 21], [5, 25], [5, 20], [5, 29], [5, 10], [5, 45], [5, 14], [5, 37], [5, 15], [5, 44], [5, 16], [5, 27], [5, 48], [5, 6], [5, 38], [5, 4], [5, 7], [5, 42], [5, 34], [5, 13], [5, 3], [5, 35], [5, 22], [5, 19], [5, 30], [5, 33], [5, 23], [5, 11], [5, 12], [5, 36], [5, 18], [5, 17], [5, 2], [5, 41], [5, 26], [47, 34], [47, 22], [47, 49], [0, 7], [0, 26], [0, 14], [32, 16], [32, 3], [32, 40], [8, 44], [8, 13], [31, 24], [31, 10], [31, 2], [31, 27], [31, 35], [24, 10], [24, 2], [24, 27], [24, 35], [9, 48], [9, 20], [9, 18], [9, 38], [39, 36], [39, 25], [39, 15], [39, 6], [39, 33], [39, 41], [39, 12], [49, 34], [49, 22], [40, 16], [40, 3], [1, 11], [1, 30], [1, 45], [46, 42], [46, 17], [46, 19], [46, 23], [46, 4], [21, 2], [21, 29], [21, 37], [25, 36], [25, 15], [25, 41], [25, 33], [25, 6], [25, 12], [20, 48], [20, 18], [20, 38], [29, 2], [29, 37], [10, 2], [10, 27], [10, 35], [45, 11], [45, 30], [45, 35], [14, 7], [14, 26], [37, 2], [37, 48], [15, 36], [15, 6], [15, 33], [15, 41], [15, 12], [44, 13], [16, 3], [27, 2], [27, 35], [48, 18], [48, 38], [6, 36], [6, 33], [6, 41], [6, 12], [38, 18], [4, 42], [4, 17], [4, 19], [4, 23], [7, 26], [42, 17], [42, 19], [42, 23], [34, 22], [3, 2], [35, 2], [19, 17], [19, 23], [30, 11], [33, 36], [33, 41], [33, 12], [23, 17], [12, 36], [12, 41], [36, 41]]"
171,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 3], [0, 6], [1, 2], [1, 4], [2, 4], [3, 6]]"
172,"[[7, 5], [7, 10], [7, 2], [7, 3], [7, 0], [7, 13], [7, 14], [7, 9], [7, 12], [7, 15], [7, 11], [7, 1], [7, 16], [7, 6], [7, 8], [7, 4], [5, 0], [5, 9], [5, 6], [5, 10], [5, 13], [0, 10], [0, 9], [0, 6], [0, 13], [2, 1], [2, 16], [2, 11], [2, 3], [2, 13], [3, 1], [3, 11], [3, 16], [3, 13], [10, 9], [10, 6], [10, 13], [13, 14], [13, 9], [13, 12], [13, 15], [13, 11], [13, 1], [13, 16], [13, 6], [13, 8], [13, 4], [14, 15], [14, 8], [14, 12], [14, 4], [9, 6], [12, 15], [12, 8], [12, 4], [15, 8], [15, 4], [11, 16], [11, 1], [1, 16], [8, 4]]"
175,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
176,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
177,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
178,"[[7, 1], [7, 16], [7, 6], [7, 12], [7, 11], [5, 3], [5, 12], [5, 10], [0, 9], [0, 13], [0, 12], [0, 14], [2, 8], [2, 12], [2, 15], [2, 4], [3, 12], [3, 10], [10, 12], [13, 9], [13, 12], [13, 14], [14, 9], [14, 12], [9, 12], [12, 15], [12, 11], [12, 1], [12, 16], [12, 6], [12, 8], [12, 4], [15, 8], [15, 4], [11, 1], [11, 16], [11, 6], [1, 16], [1, 6], [16, 6], [8, 4]]"
179,"[[7, 10], [7, 12], [7, 15], [7, 0], [7, 9], [7, 11], [7, 3], [7, 2], [7, 6], [7, 14], [7, 4], [5, 1], [5, 3], [5, 13], [5, 8], [5, 0], [0, 10], [0, 11], [0, 3], [0, 13], [0, 14], [0, 9], [0, 12], [0, 15], [0, 2], [0, 1], [0, 6], [0, 8], [0, 4], [2, 12], [2, 15], [2, 9], [2, 11], [2, 3], [2, 14], [3, 11], [3, 8], [3, 10], [3, 13], [3, 12], [3, 9], [3, 14], [3, 15], [3, 1], [3, 6], [3, 4], [10, 15], [10, 9], [10, 11], [10, 6], [10, 14], [10, 4], [13, 1], [13, 8], [14, 11], [14, 15], [14, 9], [14, 6], [14, 12], [14, 4], [9, 11], [9, 15], [9, 6], [9, 12], [9, 4], [12, 15], [12, 11], [15, 11], [15, 6], [15, 4], [11, 6], [11, 4], [1, 8], [6, 4]]"
18,"[[7, 1], [7, 0], [7, 8], [7, 5], [7, 4], [5, 1], [5, 0], [5, 8], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [1, 2], [1, 3], [1, 6], [1, 8], [1, 4], [2, 3], [2, 6], [3, 6], [8, 4]]"
181,"[[7, 16], [7, 11], [7, 3], [7, 5], [7, 0], [5, 16], [5, 3], [5, 0], [0, 9], [0, 10], [0, 16], [0, 11], [0, 3], [0, 12], [2, 15], [2, 1], [2, 13], [2, 3], [2, 6], [2, 8], [2, 14], [2, 4], [3, 11], [3, 8], [3, 10], [3, 13], [3, 12], [3, 9], [3, 14], [3, 15], [3, 1], [3, 16], [3, 6], [3, 4], [10, 9], [10, 11], [10, 12], [13, 15], [13, 1], [13, 6], [13, 8], [13, 14], [13, 4], [14, 15], [14, 6], [14, 1], [14, 8], [14, 4], [9, 11], [9, 12], [12, 11], [15, 6], [15, 1], [15, 8], [15, 4], [11, 16], [1, 6], [1, 8], [1, 4], [6, 8], [6, 4], [8, 4]]"
183,"[[5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
184,"[[5, 1], [5, 0], [5, 6], [5, 4], [0, 1], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [6, 4]]"
185,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
188,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 8], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 8], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [1, 2], [1, 3], [1, 6], [1, 8], [1, 4], [2, 3], [2, 6], [2, 8], [2, 4], [3, 8], [3, 6], [3, 4], [6, 8], [6, 4], [8, 4]]"
189,"[[7, 16], [7, 5], [7, 20], [7, 15], [7, 0], [7, 11], [7, 3], [7, 10], [7, 13], [7, 12], [7, 9], [7, 18], [7, 14], [7, 17], [7, 19], [7, 1], [7, 2], [7, 6], [7, 8], [7, 21], [7, 4], [5, 16], [5, 20], [5, 15], [5, 0], [5, 11], [5, 3], [5, 10], [5, 13], [5, 12], [5, 9], [5, 18], [5, 14], [5, 17], [5, 19], [5, 1], [5, 2], [5, 6], [5, 8], [5, 21], [5, 4], [15, 20], [15, 11], [15, 0], [15, 2], [15, 3], [15, 10], [15, 13], [15, 12], [15, 9], [15, 18], [15, 14], [15, 17], [15, 19], [15, 1], [15, 16], [15, 6], [15, 8], [15, 21], [15, 4], [0, 20], [0, 17], [0, 21], [0, 10], [0, 11], [0, 3], [0, 13], [0, 12], [0, 9], [0, 18], [0, 14], [0, 19], [0, 1], [0, 2], [0, 6], [0, 16], [0, 8], [0, 4], [3, 20], [3, 11], [3, 8], [3, 10], [3, 13], [3, 12], [3, 9], [3, 18], [3, 14], [3, 17], [3, 19], [3, 1], [3, 2], [3, 6], [3, 16], [3, 21], [3, 4], [13, 20], [13, 11], [13, 2], [13, 10], [13, 12], [13, 9], [13, 18], [13, 14], [13, 17], [13, 19], [13, 1], [13, 16], [13, 6], [13, 8], [13, 21], [13, 4], [1, 20], [1, 17], [1, 11], [1, 10], [1, 14], [1, 16], [1, 18], [1, 12], [1, 19], [1, 9], [1, 2], [1, 6], [1, 8], [1, 21], [1, 4], [18, 20], [18, 11], [18, 2], [18, 10], [18, 12], [18, 14], [18, 17], [18, 19], [18, 9], [18, 16], [18, 6], [18, 8], [18, 21], [18, 4], [12, 20], [12, 17], [12, 11], [12, 2], [12, 10], [12, 14], [12, 9], [12, 19], [12, 16], [12, 6], [12, 8], [12, 21], [12, 4], [19, 20], [19, 2], [19, 10], [19, 14], [19, 17], [19, 11], [19, 9], [19, 16], [19, 6], [19, 8], [19, 21], [19, 4], [9, 20], [9, 11], [9, 10], [9, 14], [9, 17], [9, 16], [9, 2], [9, 6], [9, 8], [9, 21], [9, 4], [21, 20], [21, 17], [21, 11], [21, 2], [21, 10], [21, 14], [21, 16], [21, 6], [21, 8], [21, 4], [20, 17], [20, 11], [20, 2], [20, 10], [20, 14], [20, 16], [20, 6], [20, 8], [20, 4], [10, 17], [10, 11], [10, 14], [10, 8], [10, 2], [10, 6], [10, 16], [10, 4], [11, 17], [11, 2], [11, 14], [11, 16], [11, 6], [11, 8], [11, 4], [14, 2], [14, 17], [14, 16], [14, 6], [14, 8], [14, 4], [17, 2], [17, 16], [17, 6], [17, 8], [17, 4], [2, 16], [2, 6], [2, 8], [2, 4], [16, 6], [16, 8], [16, 4], [6, 8], [6, 4], [8, 4]]"
19,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
190,"[[1, 7], [1, 5], [1, 0], [7, 5], [7, 0], [5, 0], [0, 10], [0, 9], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [9, 10], [9, 2], [9, 3], [9, 6], [9, 8], [9, 4], [2, 10], [2, 3], [2, 6], [2, 8], [2, 4], [3, 10], [3, 8], [3, 6], [3, 4], [10, 6], [10, 8], [10, 4], [6, 8], [6, 4], [8, 4]]"
191,"[[1, 7], [1, 5], [1, 0], [1, 2], [1, 3], [1, 8], [1, 4], [7, 5], [7, 0], [7, 2], [7, 3], [7, 8], [7, 4], [5, 0], [5, 2], [5, 3], [5, 8], [5, 4], [0, 2], [0, 3], [0, 8], [0, 4], [9, 4], [9, 6], [9, 10], [2, 3], [2, 8], [2, 4], [3, 8], [3, 4], [10, 6], [10, 4], [6, 4], [8, 4]]"
192,"[[28, 7], [28, 20], [28, 14], [28, 17], [28, 12], [28, 4], [7, 5], [7, 15], [7, 29], [7, 0], [7, 32], [7, 3], [7, 31], [7, 13], [7, 24], [7, 9], [7, 18], [7, 12], [7, 19], [7, 1], [7, 30], [7, 27], [7, 21], [7, 22], [7, 20], [7, 25], [7, 10], [7, 11], [7, 14], [7, 35], [7, 17], [7, 36], [7, 34], [7, 2], [7, 16], [7, 33], [7, 23], [7, 6], [7, 26], [7, 8], [7, 4], [5, 0], [5, 19], [5, 10], [15, 22], [15, 35], [15, 36], [15, 30], [29, 2], [29, 31], [29, 8], [29, 34], [0, 10], [0, 19], [32, 24], [32, 33], [32, 13], [32, 27], [32, 21], [3, 16], [3, 26], [31, 2], [31, 34], [31, 8], [13, 24], [13, 27], [13, 33], [13, 21], [24, 27], [24, 33], [24, 21], [9, 23], [9, 18], [18, 23], [12, 20], [12, 17], [12, 14], [12, 4], [19, 10], [1, 11], [1, 25], [1, 6], [30, 22], [30, 35], [30, 36], [27, 33], [27, 21], [21, 33], [22, 36], [22, 35], [20, 14], [20, 17], [20, 4], [25, 11], [25, 6], [2, 34], [2, 8], [14, 17], [14, 4], [35, 36], [17, 4], [34, 8], [11, 6], [16, 26]]"
193,"[[28, 24], [28, 5], [28, 20], [28, 26], [28, 4], [7, 25], [7, 11], [7, 2], [7, 3], [7, 10], [7, 12], [7, 1], [7, 14], [7, 17], [7, 19], [7, 16], [7, 27], [7, 26], [5, 24], [5, 20], [5, 26], [5, 4], [17, 25], [17, 10], [17, 11], [17, 3], [17, 12], [17, 16], [17, 14], [17, 19], [17, 1], [17, 27], [17, 2], [17, 26], [29, 9], [29, 22], [29, 13], [29, 26], [0, 8], [0, 26], [3, 25], [3, 11], [3, 2], [3, 10], [3, 12], [3, 1], [3, 14], [3, 19], [3, 16], [3, 27], [3, 26], [31, 18], [31, 15], [31, 30], [31, 23], [31, 6], [31, 26], [31, 21], [13, 9], [13, 22], [13, 26], [24, 20], [24, 26], [24, 4], [9, 22], [9, 26], [18, 15], [18, 30], [18, 23], [18, 6], [18, 26], [18, 21], [12, 25], [12, 10], [12, 11], [12, 14], [12, 1], [12, 19], [12, 16], [12, 27], [12, 2], [12, 26], [19, 25], [19, 10], [19, 11], [19, 1], [19, 14], [19, 2], [19, 16], [19, 27], [19, 26], [1, 25], [1, 11], [1, 2], [1, 10], [1, 14], [1, 16], [1, 27], [1, 26], [30, 15], [30, 23], [30, 6], [30, 26], [30, 21], [21, 15], [21, 23], [21, 6], [21, 26], [25, 11], [25, 2], [25, 10], [25, 14], [25, 16], [25, 27], [25, 26], [20, 26], [20, 4], [10, 11], [10, 14], [10, 16], [10, 27], [10, 2], [10, 26], [2, 11], [2, 14], [2, 16], [2, 27], [2, 26], [14, 11], [14, 16], [14, 27], [14, 26], [26, 15], [26, 11], [26, 16], [26, 27], [26, 23], [26, 6], [26, 22], [26, 8], [26, 4], [15, 23], [15, 6], [11, 16], [11, 27], [16, 27], [23, 6]]"
194,"[[7, 6], [7, 13], [7, 12], [7, 0], [5, 10], [5, 1], [5, 2], [5, 6], [5, 12], [5, 4], [0, 13], [0, 6], [0, 12], [11, 8], [11, 6], [11, 12], [11, 4], [3, 9], [3, 6], [3, 12], [3, 4], [10, 1], [10, 2], [10, 6], [10, 12], [10, 4], [13, 6], [13, 12], [12, 1], [12, 2], [12, 9], [12, 6], [12, 8], [12, 4], [1, 2], [1, 6], [1, 4], [2, 6], [2, 4], [9, 6], [9, 4], [6, 8], [6, 4], [8, 4]]"
195,"[[1, 7], [1, 5], [1, 0], [1, 9], [1, 2], [1, 3], [1, 6], [1, 8], [1, 4], [7, 5], [7, 0], [7, 9], [7, 2], [7, 3], [7, 6], [7, 8], [7, 4], [5, 0], [5, 9], [5, 2], [5, 3], [5, 6], [5, 8], [5, 4], [0, 9], [0, 2], [0, 3], [0, 6], [0, 8], [0, 4], [9, 2], [9, 3], [9, 6], [9, 8], [9, 4], [2, 3], [2, 6], [2, 8], [2, 4], [3, 8], [3, 6], [3, 4], [6, 8], [6, 4], [8, 4]]"
196,"[[7, 9], [7, 20], [7, 15], [7, 19], [7, 16], [7, 2], [7, 3], [5, 12], [5, 15], [5, 0], [5, 3], [5, 10], [5, 13], [5, 8], [5, 14], [20, 9], [20, 15], [20, 19], [20, 16], [20, 2], [20, 3], [15, 11], [15, 0], [15, 2], [15, 3], [15, 10], [15, 13], [15, 12], [15, 9], [15, 18], [15, 14], [15, 17], [15, 19], [15, 1], [15, 16], [15, 6], [15, 8], [15, 4], [11, 18], [11, 17], [11, 1], [11, 3], [11, 6], [11, 4], [0, 12], [0, 10], [0, 3], [0, 13], [0, 8], [0, 14], [2, 9], [2, 19], [2, 16], [2, 3], [3, 8], [3, 10], [3, 13], [3, 12], [3, 9], [3, 18], [3, 14], [3, 17], [3, 1], [3, 4], [3, 16], [3, 6], [3, 19], [10, 12], [10, 13], [10, 8], [10, 14], [13, 12], [13, 8], [13, 14], [12, 8], [12, 14], [9, 19], [9, 16], [18, 17], [18, 1], [18, 6], [18, 4], [14, 8], [17, 1], [17, 6], [17, 4], [19, 16], [1, 6], [1, 4], [6, 4]]"
197,"[[7, 5], [7, 0], [7, 1], [7, 2], [7, 3], [7, 6], [7, 4], [5, 0], [5, 1], [5, 2], [5, 3], [5, 6], [5, 4], [0, 1], [0, 2], [0, 3], [0, 6], [0, 4], [1, 2], [1, 3], [1, 6], [1, 4], [2, 3], [2, 6], [2, 4], [3, 6], [3, 4], [6, 4]]"
198,"[[7, 18], [7, 17], [7, 2], [7, 16], [7, 11], [7, 0], [7, 14], [7, 19], [5, 9], [5, 12], [5, 3], [5, 14], [5, 15], [15, 12], [15, 0], [15, 9], [15, 3], [15, 14], [15, 4], [11, 18], [11, 17], [11, 19], [11, 16], [11, 2], [11, 0], [11, 14], [0, 18], [0, 17], [0, 2], [0, 16], [0, 19], [0, 14], [2, 18], [2, 17], [2, 16], [2, 19], [2, 14], [3, 9], [3, 12], [3, 14], [10, 1], [10, 6], [10, 8], [10, 13], [10, 14], [10, 4], [13, 1], [13, 8], [13, 6], [13, 14], [13, 4], [12, 9], [12, 14], [9, 14], [18, 17], [18, 19], [18, 16], [18, 14], [14, 17], [14, 19], [14, 1], [14, 16], [14, 6], [14, 8], [14, 4], [17, 19], [17, 16], [19, 16], [1, 8], [1, 6], [1, 4], [6, 8], [6, 4], [8, 4]]"
199,"[[28, 3], [28, 22], [28, 36], [28, 17], [28, 29], [43, 3], [43, 23], [43, 5], [43, 10], [5, 3], [5, 23], [5, 10], [29, 3], [29, 22], [29, 36], [29, 17], [0, 42], [0, 39], [0, 25], [0, 10], [0, 3], [0, 37], [32, 9], [32, 2], [32, 33], [32, 3], [32, 30], [32, 4], [8, 3], [8, 12], [8, 38], [8, 40], [31, 1], [31, 3], [31, 41], [31, 15], [24, 10], [24, 3], [24, 39], [24, 19], [9, 7], [9, 11], [9, 34], [9, 2], [9, 3], [9, 33], [9, 4], [39, 42], [39, 25], [39, 20], [39, 19], [39, 10], [39, 16], [39, 3], [39, 37], [40, 12], [40, 3], [40, 38], [1, 3], [1, 41], [1, 15], [21, 3], [21, 35], [21, 27], [22, 3], [22, 17], [22, 36], [20, 16], [20, 3], [20, 10], [10, 42], [10, 25], [10, 3], [10, 37], [10, 19], [10, 16], [10, 23], [14, 6], [14, 3], [14, 18], [14, 13], [14, 26], [37, 42], [37, 25], [37, 3], [15, 3], [15, 41], [16, 3], [27, 3], [27, 18], [27, 35], [23, 3], [6, 3], [6, 18], [6, 13], [6, 26], [38, 3], [38, 12], [4, 7], [4, 34], [4, 11], [4, 33], [4, 2], [4, 3], [7, 34], [7, 11], [7, 33], [7, 3], [42, 25], [42, 3], [34, 11], [34, 33], [34, 3], [13, 3], [13, 18], [13, 26], [3, 17], [3, 35], [3, 12], [3, 19], [3, 30], [3, 2], [3, 25], [3, 41], [3, 36], [3, 18], [3, 11], [3, 33], [3, 26], [30, 2], [33, 11], [33, 2], [36, 17], [18, 26]]"
