graph_id,graph_edge_list,node_labels
25737,"[[7, 1], [7, 8], [7, 9], [3, 4], [3, 2], [5, 0], [5, 4], [6, 2], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'I', 'Br']"
25923,"[[7, 6], [7, 2], [3, 4], [3, 2], [5, 8], [5, 6], [5, 4], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O']"
25924,"[[7, 6], [7, 2], [3, 4], [3, 2], [5, 8], [5, 6], [5, 4], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O']"
25931,"[[7, 8], [7, 2], [3, 4], [3, 2], [5, 0], [8, 6], [6, 4], [1, 0], [1, 2], [0, 4]]","['C', 'O', 'C', 'C', 'C', 'O', 'C', 'C', 'C']"
25934,"[[7, 6], [3, 1], [3, 4], [5, 6], [5, 9], [8, 4], [8, 9], [1, 0], [1, 2]]","['C', 'C', 'C', 'O', 'C', 'C', 'O', 'C', 'O', 'C']"
260,"[[3, 0], [5, 1], [6, 1], [1, 0], [0, 4], [0, 2]]","['S', 'C', 'O', 'O', 'O', 'C', 'C']"
2629,"[[7, 5], [7, 4], [3, 5], [3, 1], [5, 8], [6, 4], [1, 0], [1, 2], [4, 2]]","['Cl', 'C', 'N', 'N', 'C', 'C', 'Cl', 'N', 'N']"
26304,"[[7, 3], [3, 4], [3, 2], [5, 0], [5, 8], [5, 4], [6, 2], [1, 0], [1, 2], [1, 9]]","['C', 'C', 'C', 'C', 'C', 'C', 'O', 'Cl', 'Cl', 'N']"
2631,"[[7, 5], [7, 6], [3, 5], [3, 1], [6, 4], [1, 0], [1, 2], [1, 4]]","['O', 'S', 'O', 'C', 'O', 'C', 'C', 'C']"
26332,"[[7, 6], [3, 1], [3, 4], [5, 8], [5, 6], [5, 4], [8, 9], [1, 0], [1, 2]]","['N', 'C', 'S', 'N', 'C', 'C', 'C', 'N', 'C', 'N']"
2644,"[[7, 8], [7, 4], [3, 6], [3, 2], [5, 8], [5, 2], [1, 0], [0, 2], [4, 2]]","['C', 'O', 'C', 'C', 'C', 'C', 'O', 'S', 'S']"
265,"[[7, 5], [7, 6], [3, 1], [3, 6], [5, 2], [8, 6], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'C', 'N', 'S', 'C', 'C', 'N', 'O']"
2687,"[[7, 3], [3, 1], [3, 6], [5, 2], [1, 0], [0, 2], [4, 2]]","['N', 'N', 'C', 'C', 'O', 'O', 'O', 'O']"
2692,"[[7, 3], [7, 8], [3, 0], [3, 8], [5, 6], [5, 2], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'N', 'C', 'C', 'O', 'C', 'C', 'C', 'C']"
2693,"[[7, 5], [7, 6], [3, 5], [3, 1], [6, 4], [1, 0], [1, 2], [1, 4]]","['C', 'N', 'O', 'C', 'C', 'C', 'C', 'O']"
2714,"[[7, 5], [3, 5], [3, 2], [5, 8], [8, 6], [8, 9], [6, 4], [1, 0], [0, 2], [4, 2]]","['O', 'C', 'C', 'N', 'C', 'N', 'C', 'C', 'C', 'O']"
2727,"[[7, 5], [7, 6], [3, 2], [5, 2], [8, 6], [6, 4], [1, 0], [0, 2], [4, 2]]","['C', 'O', 'C', 'C', 'N', 'C', 'C', 'O', 'C']"
2729,"[[7, 3], [7, 8], [7, 9], [3, 1], [5, 2], [6, 2], [1, 0], [0, 2], [4, 2]]","['C', 'N', 'C', 'N', 'F', 'F', 'F', 'C', 'N', 'S']"
27320,"[[7, 1], [3, 5], [3, 4], [3, 2], [6, 0], [1, 0], [1, 2], [0, 2]]","['C', 'C', 'C', 'N', 'O', 'O', 'C', 'C']"
2738,"[[3, 5], [3, 1], [5, 4], [6, 4], [1, 0], [1, 2], [4, 2]]","['Cl', 'C', 'O', 'C', 'C', 'O', 'O']"
2745,"[[7, 5], [3, 5], [3, 1], [5, 6], [6, 4], [1, 0], [1, 2], [1, 4]]","['C', 'C', 'C', 'N', 'C', 'C', 'S', 'S']"
27860,"[[7, 6], [3, 2], [5, 6], [5, 4], [8, 0], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'C', 'O', 'O', 'C', 'C', 'C', 'N']"
27892,"[[7, 6], [7, 9], [3, 4], [3, 2], [5, 0], [5, 4], [8, 6], [8, 9], [6, 4], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'N', 'C', 'C', 'S', 'S', 'Ru']"
2802,"[[7, 6], [3, 5], [3, 1], [5, 6], [6, 4], [1, 0], [1, 2], [4, 2]]","['Cl', 'C', 'N', 'S', 'S', 'N', 'C', 'Cl']"
28148,"[[7, 6], [3, 1], [3, 4], [5, 4], [8, 6], [6, 0], [6, 4], [1, 0], [1, 2]]","['N', 'C', 'C', 'C', 'N', 'O', 'C', 'C', 'C']"
28162,"[[7, 0], [3, 2], [5, 6], [5, 2], [8, 6], [6, 0], [6, 9], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'C', 'C', 'C', 'N', 'C', 'O', 'C', 'C']"
2821,"[[7, 8], [7, 4], [3, 5], [3, 6], [3, 1], [1, 0], [0, 2], [4, 2]]","['C', 'S', 'C', 'C', 'C', 'N', 'N', 'O', 'N']"
28328,"[[7, 6], [3, 2], [5, 6], [5, 4], [8, 6], [8, 9], [1, 0], [1, 2], [0, 2], [4, 2]]","['C', 'C', 'N', 'O', 'C', 'C', 'C', 'O', 'O', 'C']"
28367,"[[7, 8], [7, 6], [7, 9], [3, 0], [5, 6], [6, 4], [1, 0], [0, 4], [0, 2]]","['Pb', 'C', 'C', 'C', 'O', 'O', 'C', 'C', 'C', 'O']"
28388,"[[7, 5], [3, 1], [5, 8], [5, 6], [5, 4], [1, 0], [1, 2], [1, 4]]","['C', 'S', 'O', 'O', 'C', 'S', 'O', 'O', 'C']"
28430,"[[7, 6], [3, 1], [3, 4], [5, 6], [5, 4], [8, 6], [1, 0], [1, 2]]","['C', 'C', 'Br', 'C', 'N', 'C', 'C', 'Br', 'C']"
28436,"[[7, 8], [3, 4], [3, 2], [5, 1], [5, 6], [5, 4], [8, 6], [1, 0], [1, 2]]","['C', 'N', 'C', 'C', 'C', 'C', 'N', 'N', 'C']"
28512,"[[7, 2], [3, 5], [3, 4], [3, 2], [5, 6], [8, 1], [8, 9], [1, 0], [1, 2], [0, 4]]","['N', 'C', 'C', 'C', 'C', 'C', 'O', 'N', 'C', 'O']"
28556,"[[7, 3], [7, 8], [3, 0], [3, 6], [5, 6], [5, 4], [1, 0], [0, 4], [0, 2]]","['S', 'O', 'O', 'N', 'C', 'C', 'C', 'N', 'O']"
28571,"[[7, 8], [7, 6], [7, 9], [3, 4], [3, 2], [5, 1], [5, 4], [6, 0], [1, 0], [1, 2]]","['N', 'C', 'N', 'N', 'N', 'N', 'C', 'N', 'C', 'C']"
28587,"[[7, 6], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2], [4, 2]]","['Cl', 'C', 'C', 'Cl', 'C', 'N', 'C', 'S']"
28596,"[[7, 8], [7, 6], [7, 9], [3, 5], [3, 4], [3, 2], [5, 8], [5, 6], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'O', 'C', 'N', 'N', 'C', 'C', 'C', 'C']"
2865,"[[7, 2], [3, 1], [5, 1], [6, 2], [1, 0], [1, 4], [0, 2]]","['N', 'S', 'C', 'N', 'O', 'O', 'N', 'N']"
2869,"[[7, 6], [3, 1], [5, 1], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C', 'N']"
29,"[[7, 3], [7, 8], [3, 0], [5, 1], [5, 8], [6, 4], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'C', 'N', 'C', 'N', 'C', 'S', 'C', 'C']"
2906,"[[7, 3], [7, 8], [3, 1], [3, 6], [5, 8], [5, 2], [1, 0], [1, 2], [4, 2]]","['S', 'C', 'C', 'C', 'N', 'C', 'S', 'N', 'N']"
29472,"[[7, 0], [3, 1], [5, 0], [6, 0], [1, 0], [1, 2], [1, 4]]","['P', 'P', 'C', 'S', 'C', 'S', 'C', 'C']"
29522,"[[7, 5], [7, 8], [3, 4], [3, 2], [5, 6], [5, 2], [8, 9], [1, 0], [1, 2], [0, 2]]","['C', 'C', 'C', 'C', 'N', 'C', 'O', 'O', 'C', 'C']"
2964,"[[7, 5], [7, 8], [3, 5], [3, 1], [5, 4], [8, 6], [6, 4], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'S', 'N', 'C', 'N', 'N', 'C', 'N']"
29789,"[[7, 3], [3, 4], [3, 2], [5, 8], [5, 6], [5, 4], [6, 1], [1, 0], [1, 2], [9, 0]]","['S', 'C', 'C', 'C', 'N', 'C', 'N', 'O', 'O', 'C']"
29815,"[[7, 2], [3, 0], [3, 8], [3, 4], [5, 1], [5, 6], [8, 2], [1, 4], [1, 2]]","['S', 'C', 'C', 'C', 'N', 'C', 'N', 'N', 'N']"
30002,"[[7, 3], [3, 4], [3, 2], [5, 0], [5, 4], [8, 4], [8, 9], [6, 1], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'C', 'C', 'O', 'O', 'C', 'Cl']"
30013,"[[7, 3], [3, 4], [3, 2], [5, 0], [5, 4], [8, 4], [8, 9], [6, 1], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'C', 'C', 'O', 'O', 'C', 'N']"
30026,"[[7, 3], [3, 4], [3, 2], [5, 0], [5, 4], [8, 4], [8, 9], [6, 1], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'C', 'C', 'O', 'O', 'N', 'N']"
301,"[[7, 8], [7, 4], [3, 5], [3, 6], [3, 2], [8, 6], [8, 9], [1, 0], [0, 2], [4, 2]]","['N', 'O', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'O']"
30298,"[[7, 6], [3, 0], [3, 2], [5, 4], [8, 6], [6, 1], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'N', 'C', 'C', 'C', 'C', 'O', 'O']"
3036,"[[7, 3], [3, 0], [5, 2], [8, 4], [6, 2], [1, 0], [1, 4], [9, 4], [0, 2]]","['C', 'C', 'C', 'C', 'C', 'O', 'O', 'N', 'C', 'C']"
3053,"[[7, 2], [3, 0], [5, 1], [8, 2], [6, 1], [1, 0], [1, 4], [0, 2]]","['C', 'C', 'C', 'N', 'C', 'C', 'S', 'O', 'O']"
3056,"[[7, 4], [3, 5], [3, 6], [3, 2], [8, 6], [8, 4], [1, 0], [0, 2], [4, 2]]","['C', 'C', 'N', 'C', 'C', 'O', 'C', 'S', 'S']"
30615,"[[7, 6], [3, 4], [3, 2], [5, 0], [5, 6], [5, 4], [8, 6], [6, 9], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'Sb', 'O', 'O', 'O']"
3063,"[[7, 2], [3, 0], [5, 1], [8, 2], [6, 1], [1, 0], [0, 4], [0, 2]]","['C', 'C', 'C', 'C', 'F', 'N', 'O', 'N', 'O']"
307,"[[7, 3], [7, 9], [3, 0], [5, 1], [5, 8], [8, 9], [6, 4], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'N', 'N', 'C', 'N', 'C', 'N', 'C', 'C', 'C']"
30808,"[[7, 8], [7, 6], [3, 2], [5, 2], [8, 9], [6, 0], [1, 0], [0, 2], [4, 2]]","['C', 'N', 'P', 'O', 'C', 'O', 'C', 'C', 'S', 'C']"
3082,"[[7, 3], [7, 8], [3, 5], [3, 6], [3, 1], [8, 4], [8, 9], [1, 0], [1, 2], [1, 4]]","['C', 'C', 'C', 'S', 'C', 'O', 'O', 'O', 'C', 'C']"
30972,"[[7, 3], [3, 0], [3, 6], [3, 2], [5, 0], [8, 2], [1, 0], [1, 2], [1, 9], [0, 4]]","['C', 'N', 'N', 'C', 'Br', 'C', 'C', 'C', 'O', 'O']"
3107,"[[7, 6], [7, 4], [3, 1], [3, 6], [5, 2], [5, 9], [8, 4], [8, 9], [1, 0], [1, 2], [4, 2]]","['Cl', 'C', 'C', 'C', 'C', 'N', 'N', 'N', 'N', 'C']"
3109,"[[7, 4], [7, 9], [3, 5], [3, 1], [5, 6], [8, 6], [8, 9], [6, 4], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'C', 'C', 'C', 'N', 'N', 'N', 'C', 'N']"
31109,"[[7, 1], [7, 4], [3, 4], [3, 2], [5, 6], [5, 4], [8, 6], [6, 0], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'S', 'O']"
31110,"[[7, 1], [7, 4], [3, 4], [3, 2], [5, 6], [5, 4], [8, 6], [6, 0], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'S', 'O']"
31111,"[[7, 1], [7, 4], [3, 4], [3, 2], [5, 6], [5, 4], [8, 6], [6, 0], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'S', 'O']"
31136,"[[7, 6], [3, 2], [5, 4], [8, 0], [8, 9], [6, 4], [1, 0], [1, 4], [1, 2]]","['N', 'C', 'C', 'N', 'C', 'N', 'C', 'N', 'C', 'N']"
3140,"[[7, 8], [7, 4], [7, 9], [3, 5], [3, 6], [3, 2], [5, 8], [6, 9], [1, 0], [0, 2], [4, 2]]","['N', 'O', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C']"
31568,"[[7, 0], [7, 8], [3, 2], [5, 0], [5, 6], [1, 0], [0, 2], [4, 2]]","['P', 'O', 'C', 'Cl', 'Cl', 'C', 'C', 'C', 'C']"
31573,"[[7, 6], [3, 2], [5, 4], [6, 0], [1, 0], [0, 2], [0, 4]]","['P', 'S', 'C', 'C', 'C', 'C', 'C', 'Cl']"
3181,"[[7, 6], [3, 1], [5, 1], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C', 'O']"
31897,"[[7, 4], [7, 6], [7, 9], [3, 4], [3, 2], [5, 0], [5, 6], [8, 2], [1, 0], [1, 2], [0, 4]]","['C', 'S', 'C', 'N', 'N', 'N', 'N', 'C', 'Cl', 'C']"
32303,"[[7, 6], [7, 9], [3, 8], [3, 4], [3, 2], [5, 0], [8, 9], [6, 2], [1, 0], [1, 2], [0, 4]]","['C', 'S', 'C', 'C', 'S', 'S', 'S', 'C', 'S', 'C']"
3265,"[[7, 8], [7, 2], [3, 0], [3, 8], [5, 1], [5, 6], [8, 4], [6, 2], [6, 9], [1, 0], [1, 4], [9, 4], [0, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'S', 'C']"
32861,"[[7, 1], [7, 8], [3, 0], [3, 5], [3, 4], [5, 2], [6, 0], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'O', 'N', 'N', 'C', 'C']"
32866,"[[7, 6], [3, 0], [3, 5], [3, 4], [5, 2], [8, 1], [6, 0], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'O', 'N', 'N', 'C', 'C']"
32872,"[[7, 6], [3, 0], [3, 6], [3, 4], [5, 4], [5, 2], [8, 2], [8, 9], [1, 0], [1, 2]]","['N', 'N', 'C', 'C', 'N', 'N', 'S', 'C', 'S', 'C']"
32876,"[[7, 3], [3, 5], [3, 1], [6, 2], [1, 0], [0, 2], [4, 2]]","['N', 'N', 'C', 'C', 'O', 'O', 'N', 'N']"
3310,"[[7, 4], [3, 5], [3, 6], [3, 2], [5, 9], [8, 6], [8, 4], [1, 0], [0, 2], [4, 2]]","['C', 'N', 'C', 'C', 'C', 'C', 'N', 'N', 'O', 'C']"
33168,"[[7, 6], [7, 9], [3, 2], [3, 4], [3, 9], [5, 0], [5, 4], [8, 0], [6, 2], [1, 0], [1, 2]]","['C', 'N', 'C', 'C', 'C', 'N', 'N', 'N', 'S', 'N']"
334,"[[7, 3], [3, 0], [5, 1], [6, 2], [1, 0], [0, 4], [0, 2]]","['C', 'C', 'C', 'C', 'N', 'O', 'O', 'O']"
3343,"[[3, 1], [5, 1], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'S', 'C', 'O', 'O', 'O', 'C']"
3362,"[[7, 5], [7, 6], [3, 1], [5, 2], [8, 6], [6, 4], [1, 0], [0, 2], [4, 2]]","['O', 'C', 'C', 'C', 'O', 'N', 'C', 'N', 'C']"
33688,"[[7, 6], [3, 4], [3, 2], [5, 1], [8, 6], [8, 9], [6, 4], [1, 0], [1, 2], [0, 4]]","['N', 'C', 'O', 'C', 'C', 'O', 'C', 'O', 'O', 'C']"
33689,"[[7, 6], [3, 4], [3, 2], [5, 1], [8, 6], [8, 9], [6, 4], [1, 0], [1, 2], [0, 4]]","['N', 'C', 'O', 'C', 'C', 'O', 'C', 'O', 'O', 'C']"
3391,"[[7, 8], [7, 4], [7, 9], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2], [9, 0], [4, 2]]","['C', 'N', 'C', 'N', 'C', 'N', 'O', 'C', 'N', 'N']"
34144,"[[7, 6], [3, 2], [5, 2], [8, 6], [6, 0], [6, 9], [1, 0], [1, 2], [4, 2]]","['S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']"
34215,"[[7, 2], [3, 4], [3, 2], [5, 1], [5, 6], [8, 0], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'C', 'N', 'N', 'N', 'O', 'C', 'C']"
34216,"[[7, 8], [7, 2], [3, 4], [3, 2], [5, 0], [5, 4], [5, 9], [6, 4], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'Cl', 'N', 'O', 'O']"
34221,"[[7, 6], [3, 4], [3, 2], [5, 0], [5, 8], [5, 4], [6, 4], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'N', 'O', 'C']"
34222,"[[7, 3], [3, 4], [3, 2], [5, 0], [5, 6], [5, 4], [8, 2], [8, 9], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'N', 'O']"
34223,"[[7, 6], [3, 4], [3, 2], [5, 0], [5, 6], [5, 4], [8, 2], [8, 9], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'N', 'O']"
34264,"[[7, 6], [3, 4], [3, 2], [5, 0], [5, 8], [5, 4], [6, 2], [1, 0], [1, 2], [9, 4]]","['C', 'C', 'C', 'C', 'C', 'C', 'N', 'O', 'O', 'C']"
3440,"[[7, 2], [3, 0], [5, 1], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'C', 'C', 'F', 'N', 'O', 'N', 'O']"
3441,"[[7, 2], [3, 0], [5, 1], [8, 2], [6, 1], [1, 0], [0, 4], [0, 2]]","['C', 'C', 'C', 'F', 'F', 'N', 'O', 'N', 'O']"
34412,"[[7, 4], [3, 2], [3, 8], [3, 9], [5, 4], [6, 4], [1, 0], [1, 2], [0, 2], [4, 2]]","['C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'O', 'O']"
346,"[[3, 5], [3, 1], [5, 4], [6, 4], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'N', 'C', 'C', 'S', 'O']"
34632,"[[7, 5], [7, 8], [3, 0], [3, 6], [3, 4], [5, 0], [6, 2], [1, 0], [1, 2], [1, 9]]","['N', 'C', 'N', 'C', 'O', 'N', 'N', 'C', 'C', 'C']"
347,"[[3, 5], [3, 1], [5, 4], [1, 0], [1, 2], [4, 2]]","['S', 'C', 'S', 'S', 'C', 'C']"
34728,"[[7, 6], [3, 5], [3, 4], [3, 2], [5, 6], [8, 6], [8, 9], [1, 0], [1, 2], [0, 4]]","['C', 'N', 'N', 'N', 'C', 'C', 'C', 'O', 'N', 'N']"
3487,"[[3, 5], [3, 1], [5, 4], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'C', 'N', 'C', 'S']"
34873,"[[7, 8], [7, 2], [3, 2], [3, 9], [5, 6], [5, 4], [6, 2], [1, 0], [1, 4], [1, 2], [9, 0]]","['C', 'C', 'C', 'C', 'C', 'N', 'N', 'C', 'N', 'N']"
34876,"[[7, 6], [3, 0], [3, 1], [5, 0], [5, 2], [6, 2], [1, 2], [0, 4]]","['C', 'N', 'C', 'N', 'O', 'N', 'C', 'C']"
34936,"[[7, 0], [7, 8], [7, 6], [7, 9], [3, 4], [3, 2], [5, 6], [5, 4], [8, 4], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'O']"
35057,"[[7, 4], [3, 0], [5, 4], [8, 1], [6, 4], [1, 0], [1, 2], [0, 4]]","['B', 'C', 'O', 'Br', 'N', 'C', 'C', 'C', 'O']"
35215,"[[7, 8], [7, 6], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2], [9, 2], [0, 4]]","['N', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'N', 'C']"
35269,"[[7, 3], [7, 8], [3, 4], [3, 2], [5, 0], [5, 4], [6, 4], [1, 0], [1, 2], [1, 9]]","['C', 'C', 'C', 'C', 'C', 'C', 'Br', 'C', 'O', 'O']"
35317,"[[7, 2], [3, 4], [3, 2], [5, 4], [8, 0], [6, 0], [6, 4], [1, 0], [1, 2]]","['C', 'N', 'C', 'C', 'C', 'O', 'N', 'N', 'N']"
35329,"[[7, 5], [3, 2], [3, 6], [3, 4], [5, 0], [5, 4], [8, 1], [1, 0], [1, 2]]","['N', 'C', 'N', 'C', 'N', 'C', 'Cl', 'N', 'N']"
35330,"[[7, 2], [3, 4], [3, 2], [5, 0], [8, 0], [8, 4], [6, 4], [1, 0], [1, 2]]","['C', 'N', 'C', 'C', 'C', 'S', 'N', 'N', 'N']"
35341,"[[7, 1], [7, 8], [3, 0], [3, 5], [3, 4], [6, 0], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'N', 'C', 'N', 'O', 'O', 'C', 'C']"
35383,"[[7, 1], [7, 8], [7, 9], [3, 4], [3, 2], [5, 2], [6, 4], [1, 0], [1, 2], [0, 4]]","['N', 'N', 'C', 'C', 'C', 'O', 'N', 'C', 'O', 'C']"
3576,"[[7, 4], [7, 8], [7, 6], [7, 9], [3, 5], [3, 6], [3, 2], [1, 0], [0, 2], [4, 2]]","['S', 'C', 'C', 'C', 'O', 'O', 'O', 'C', 'C', 'C']"
3595,"[[7, 5], [7, 6], [3, 5], [3, 1], [6, 4], [1, 0], [1, 2], [1, 4]]","['C', 'Si', 'C', 'C', 'C', 'C', 'S', 'C']"
36114,"[[7, 6], [3, 4], [3, 2], [5, 0], [5, 2], [6, 0], [1, 0]]","['C', 'O', 'C', 'C', 'Cl', 'N', 'N', 'O']"
36116,"[[7, 0], [3, 6], [3, 4], [5, 4], [8, 0], [6, 1], [1, 0], [1, 2]]","['N', 'C', 'O', 'C', 'C', 'Cl', 'N', 'N', 'C']"
36306,"[[7, 6], [3, 8], [3, 4], [3, 2], [5, 6], [5, 2], [1, 0], [1, 2], [0, 4]]","['C', 'O', 'C', 'N', 'C', 'C', 'O', 'C', 'C']"
36522,"[[7, 8], [7, 6], [3, 2], [3, 6], [3, 4], [5, 0], [5, 4], [8, 4], [6, 9], [1, 0], [1, 2]]","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'O', 'O']"
36598,"[[7, 6], [3, 8], [3, 6], [3, 2], [5, 1], [8, 9], [6, 4], [1, 0], [1, 2], [0, 4]]","['C', 'C', 'N', 'C', 'N', 'O', 'N', 'C', 'S', 'C']"
36649,"[[7, 5], [7, 6], [3, 1], [3, 8], [3, 4], [5, 4], [5, 2], [6, 0], [0, 4]]","['N', 'O', 'Cl', 'C', 'C', 'C', 'N', 'N', 'O']"
36652,"[[7, 5], [3, 8], [3, 4], [3, 2], [5, 1], [5, 4], [8, 9], [6, 0], [6, 1], [0, 4]]","['N', 'S', 'S', 'C', 'C', 'C', 'N', 'N', 'N', 'C']"
36658,"[[7, 8], [7, 4], [3, 0], [3, 4], [3, 2], [5, 0], [5, 6], [6, 4], [1, 2], [9, 2]]","['N', 'S', 'C', 'C', 'C', 'C', 'N', 'S', 'C', 'N']"
3666,"[[7, 3], [7, 8], [7, 6], [3, 1], [5, 4], [5, 2], [6, 2], [1, 0], [1, 2], [4, 2]]","['O', 'C', 'C', 'N', 'C', 'C', 'N', 'C', 'O']"
37,"[[7, 6], [7, 4], [3, 1], [3, 6], [5, 2], [5, 9], [8, 4], [8, 9], [1, 0], [1, 2], [4, 2]]","['S', 'C', 'C', 'N', 'C', 'N', 'C', 'N', 'N', 'C']"
37146,"[[7, 8], [7, 2], [3, 4], [3, 2], [5, 6], [5, 4], [1, 0], [1, 2], [1, 9], [0, 4]]","['O', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'N', 'N']"
3718,"[[7, 3], [7, 8], [3, 0], [5, 1], [5, 8], [6, 4], [6, 2], [1, 0], [1, 4], [0, 2]]","['C', 'C', 'C', 'C', 'N', 'C', 'O', 'C', 'C']"
37506,"[[7, 6], [3, 5], [3, 4], [3, 2], [8, 0], [6, 4], [1, 0], [1, 2], [1, 9], [0, 4]]","['C', 'C', 'O', 'C', 'C', 'N', 'C', 'N', 'C', 'C']"
3753,"[[7, 3], [7, 8], [3, 1], [3, 6], [5, 8], [5, 2], [1, 0], [1, 2], [4, 2]]","['N', 'C', 'C', 'N', 'C', 'C', 'N', 'C', 'C']"
3759,"[[7, 5], [7, 8], [3, 5], [3, 1], [5, 4], [8, 6], [6, 4], [1, 0], [1, 2], [4, 2]]","['C', 'C', 'S', 'N', 'C', 'N', 'N', 'C', 'N']"
376,"[[7, 1], [3, 0], [5, 1], [6, 1], [1, 0], [0, 4], [0, 2]]","['C', 'S', 'C', 'C', 'O', 'O', 'O', 'O']"
3760,"[[7, 8], [7, 4], [3, 1], [3, 6], [5, 8], [5, 2], [6, 4], [1, 0], [1, 2], [4, 2]]","['C', 'C', 'N', 'N', 'C', 'N', 'N', 'S', 'C']"
3761,"[[7, 8], [7, 4], [3, 1], [3, 6], [5, 8], [5, 2], [6, 4], [1, 0], [1, 2], [4, 2]]","['S', 'C', 'N', 'N', 'C', 'N', 'N', 'S', 'C']"
37658,"[[7, 1], [3, 1], [3, 4], [5, 0], [6, 0], [1, 0], [0, 2], [4, 2]]","['C', 'C', 'S', 'N', 'S', 'Cl', 'Cl', 'Cl']"
377,"[[7, 5], [7, 9], [3, 1], [5, 2], [8, 6], [8, 9], [6, 2], [1, 0], [1, 4], [0, 2]]","['N', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C']"
37745,"[[7, 2], [3, 0], [3, 4], [3, 2], [5, 0], [5, 6], [8, 4], [6, 4], [1, 2]]","['N', 'O', 'C', 'C', 'C', 'N', 'N', 'O', 'S']"
3776,"[[7, 8], [7, 6], [7, 4], [3, 5], [3, 6], [3, 1], [1, 0], [1, 2], [1, 4]]","['C', 'C', 'C', 'C', 'N', 'O', 'N', 'C', 'S']"
3777,"[[7, 4], [3, 0], [3, 6], [5, 8], [5, 2], [6, 9], [1, 0], [1, 4], [0, 2]]","['N', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'N', 'N']"
379,"[[7, 4], [7, 9], [3, 1], [5, 8], [5, 2], [8, 9], [6, 4], [1, 0], [0, 2], [4, 2]]","['C', 'N', 'C', 'O', 'N', 'C', 'C', 'C', 'C', 'C']"
38309,"[[7, 8], [7, 6], [3, 0], [3, 4], [3, 9], [5, 1], [5, 6], [1, 0], [1, 2], [9, 2]]","['C', 'C', 'N', 'C', 'O', 'C', 'C', 'C', 'C', 'N']"
38310,"[[7, 3], [3, 4], [3, 2], [5, 0], [5, 6], [5, 4], [8, 1], [1, 0], [1, 2], [1, 9]]","['O', 'C', 'O', 'C', 'C', 'C', 'O', 'O', 'C', 'C']"
